,Topic_0,Topic_1,Topic_2,Topic_3,Dominant_Topic_NMF
2013-PRa-ALTW.txt,0.9923467700860806,6.087305797328043e-08,0.00765316904086138,0.0,0
2014-PRa-ALTW.txt,0.9682163883201609,0.0,0.03178361167983907,0.0,0
2015-PRa-ALTW.txt,0.8191292477897061,0.0,0.1808707522102939,0.0,0
2016-PRb-ALTW.txt,0.77744947613197,0.0,0.0,0.22255052386802998,0
2017-PRa-ALTW.txt,,,,,0
2018-PRa-ALTW.txt,0.9999999124184288,8.758157113249378e-08,0.0,0.0,0
2021-PRa-ALTW.txt,1.0,0.0,0.0,0.0,0
2021-PRb-ALTW.txt,,,,,0
2022-PRa-ALTW.txt,1.0,0.0,0.0,0.0,0
2016-PRa-ALTW.txt,0.0,1.0,0.0,0.0,1
2019-PRa-ALTW.txt,0.0,1.0,0.0,0.0,1
2015-PRb-ALTW.txt,0.0,0.0,1.0,0.0,2
2017-PRb-ALTW.txt,0.0,2.815013284056127e-09,0.9999999971849867,0.0,2
2020-PRb-ALTW.txt,0.0,0.0,0.9954656502284491,0.00453434977155083,2
2013-PRb-ALTW.txt,0.0,0.0,0.0,1.0,3
2020-PRa-ALTW.txt,0.0,0.0,0.0,1.0,3
