Source,Target,Weight
2002-ajA,Topic_0,0.7344061409198571
2002-ajA,Topic_3,0.12192783896948806
2003-NYT,Topic_0,0.7597036666329167
2003-NYT,Topic_3,0.1708227980124935
2004-Maj,Topic_0,0.7492368149093654
2004-Maj,Topic_2,0.12505992431114354
2004-Tor,Topic_0,0.6527171523621804
2004-Tor,Topic_1,0.10569243204891517
2004-Tor,Topic_2,0.14943266573121586
2004-Ind,Topic_0,0.34490149872463755
2004-Ind,Topic_1,0.1182492384763448
2004-Ind,Topic_2,0.10426520037227748
2004-Ind,Topic_3,0.12873697750721125
2004-Ind,Topic_4,0.3038470849195289
2005-Ind,Topic_2,0.9811042034883676
2005-Tor,Topic_0,0.9008021778597286
2006-ajA,Topic_0,0.899488597435661
2006-Maj,Topic_0,1.0
2006-Maj,Topic_0,0.9996504027463158
2006-Tim,Topic_0,1.0
2007-Maj,Topic_0,0.9738614587047658
2007-Maj,Topic_0,0.10629255975187656
2007-Maj,Topic_1,0.4087312424393585
2007-Maj,Topic_2,0.14871472442108816
2007-Maj,Topic_3,0.12854042082644876
2007-Maj,Topic_4,0.20772105256122805
2007-NYT,Topic_0,1.0
2007-Maj,Topic_0,1.0
2007-Maj,Topic_0,0.9521310247604018
2007-Maj,Topic_0,0.8565135569983355
2007-Tor,Topic_0,0.3920245807179755
2007-Tor,Topic_1,0.2662477521758326
2007-Tor,Topic_2,0.2283310943507553
2007-Tor,Topic_4,0.11339657275543664
2007-Maj,Topic_0,0.5300874798687131
2007-Maj,Topic_1,0.3581144360442721
2007-Dai,Topic_0,0.7113588987991732
2007-Dai,Topic_4,0.12315734030666355
2008-Ind,Topic_0,0.14396416486552166
2008-Ind,Topic_1,0.4184063125595472
2008-Ind,Topic_4,0.3467258217155817
2008-Maj,Topic_0,1.0
2008-Maj,Topic_0,0.6110042490550418
2008-Maj,Topic_1,0.2303136282317632
2008-Maj,Topic_0,0.3935387981171423
2008-Maj,Topic_1,0.5697837495123684
